,id_str,stack_vars.full_tweet_text,user.screen_name,created_ts
0,ID_1311966550463832065,@mrjamesob think about how the whole qanon side is gonna play this - itÕll probably be that heÕs been poisoned or something like that,ElGranto,10/2/20 9:49
1,ID_1312097167222411267,"@aniket0608 I mean out of 1000 QAnon theories, 1 might be true. But, that might be disturbing them. I think one of the theories is that there is a ring of global sex predators (probably emerged after Epstein) and they name anyone they want in that ring, without evidence of course.",pulki_bushu,10/2/20 18:28
2,ID_1312493447509540864,"The logic all along has been inescapable

1) If this is real and dangerous, then President Trump has failed on a world-historical scale.

2) Therefore, this must be either unreal (QAnon) or undangerous (mainstream GOP/Fox).

3) But unfortunately ... it is real and it is dangerous",davidfrum,10/3/20 20:43
3,ID_1312255205635809280,@cjtruth Why did Republicans vote yes on this ridiculous resolution?! Do they even know who Q is? __ #QAnon #NothingCanStopWhatsComing,SallyGirlUSA,10/3/20 4:56
4,ID_1311970036349886464,QAnon has various abbreviations including HC for Hillary Clinton. How could ANYONE crack this code?!?!,SoozUK,10/2/20 10:03
5,ID_1312029262535430145,"@Lizzie_Mueller Seems like a damaging thing to lie about, unless you believe the QAnon nonsense about this being a smokescreen for deep state arrests.",ianstalk,10/2/20 13:58
6,ID_1311591068912300032,"@HillaryClinton @JoeBiden He's running against #CrimesAgainstHumanity
#CrimesAgainstChildren
Therefore he's running against YOU #KillaryClinton
#ClintonCrimeFamily
#pizzagate
#ClintonFoundation
#ClintonBodyCount
#BenghaziAintGoingAway",Anipru1,10/1/20 8:57
7,ID_1312812303981502464,@AriesArked @JudithCollinsMP Thanks for your insights Mr QAnon. Shouldn't you be in the US rescuing babies from the blood drinking elites though?,blinder_the,10/4/20 17:50
8,ID_1312427570101710849,@saraecook It is the WH fault for the disbelief and it is valid. We need to stay focused and work with just the facts whatever they maybe. Some speculation will always be there but we shouldnÕt go down the conspiracy path or we end up with another QAnon. Facts will come out.,kmacptx,10/3/20 16:21
9,ID_1312082153098948613,@justinamash let Qanon infest the republican party ____,pierpier11,10/2/20 17:28
10,ID_1312429534600335363,"@DrVivianLee Probably so many attempts on their lives at the moment made it necessary for them to go underground for the next couple of weeks.

#WWG1WGA",SPORTS_SIGNALS,10/3/20 16:29
11,ID_1312786018035171330,@DanielNewman You QAnon folks come up with the most interesting theories. Must be something in the water in these cities.,AnotherDollarRy,10/4/20 16:05
12,ID_1312052255898710022,"@ChadPergram @SandyHa41361227 QANON IS JUST AN IDEA.
__ __ __ __",EscapefromMiami,10/2/20 15:30
13,ID_1312363385191792645,Clap For The QAnon Tweeters.,Casmilus,10/3/20 12:06
14,ID_1311740096631144448,The Qanon is more trust worthy than Mainstream Media.,trevorweissman,10/1/20 18:49
15,ID_1312151619853639680,@SixQ2020 Just waiting for the climax of this movie to really get going good!  WWG1WGA,sioned47,10/2/20 22:04
16,ID_1312086114128326659,@AQtime So now they r going to get into our minds and rule us on what to believe? I will believe Qanon even if they rule against it 100 times.,angelheaart,10/2/20 17:44
17,ID_1311700481014726657,@C_L_I_C_K I hope and pray IÕve been just the tiniest bit of help in spreading the word.    It been my honor and pleasure.   WWG1WGA ______________,kadurborow,10/1/20 16:12
18,ID_1311872455129006080,Qanon peeps actually be thinking Biden having a microphone in his sleeve a sign of cheeting on a debate? What's he going to do with it? Let someone listen to what is already being said on live television?,Storybookgiant,10/2/20 3:35
19,ID_1312557137684385792,@ichadlowe What it must be like living in that Pedowood nitemare.,Bellagrey0,10/4/20 0:56
